DATE,TEMPERATURE,HUMIDITY,CLASSIFICATION
2015-01-01,20.333333333333332,83.20833333333333,Cold
2015-01-02,23.041666666666668,76.25,Cold
2015-01-03,24.375,76.75,Cold
2015-01-04,23.916666666666668,68.25,Cold
2015-01-05,21.25,51.375,Cold
2015-01-06,19.791666666666668,49.833333333333336,Cold
2015-01-07,19.333333333333332,47.333333333333336,Cold
2015-01-08,19.875,44.5,Cold
2015-01-09,19.666666666666668,50.166666666666664,Cold
2015-01-10,19.375,46.083333333333336,Cold
2015-01-11,18.291666666666668,36.916666666666664,Cold
2015-01-12,18.458333333333332,30.791666666666668,Cold
2015-01-13,19.25,33.75,Cold
2015-01-14,20.166666666666668,46.041666666666664,Cold
2015-01-15,21.166666666666668,44.625,Cold
2015-01-16,21.791666666666668,46.666666666666664,Cold
2015-01-17,21.166666666666668,34.875,Cold
2015-01-18,19.416666666666668,34.333333333333336,Cold
2015-01-19,18.416666666666668,39.875,Cold
2015-01-20,19.416666666666668,39.166666666666664,Cold
2015-01-21,19.541666666666668,30.958333333333332,Cold
2015-01-22,20.666666666666668,33.916666666666664,Cold
2015-01-23,21.25,37.0,Cold
2015-01-24,22.625,43.541666666666664,Cold
2015-01-25,22.291666666666668,47.875,Cold
2015-01-26,21.708333333333332,41.291666666666664,Cold
2015-01-27,22.833333333333332,46.125,Cold
2015-01-28,23.375,54.375,Cold
2015-01-29,23.041666666666668,55.666666666666664,Cold
2015-01-30,21.416666666666668,48.583333333333336,Cold
2015-01-31,19.333333333333332,35.416666666666664,Cold
2015-02-01,19.458333333333332,31.208333333333332,Cold
2015-02-02,20.5,32.416666666666664,Cold
2015-02-03,22.375,30.166666666666668,Cold
2015-02-04,23.458333333333332,33.375,Cold
2015-02-05,24.666666666666668,39.375,Cold
2015-02-06,23.0,34.875,Cold
2015-02-07,21.5,27.125,Cold and Dry
2015-02-08,23.416666666666668,34.541666666666664,Cold
2015-02-09,23.458333333333332,41.833333333333336,Cold
2015-02-10,24.083333333333332,43.958333333333336,Cold
2015-02-11,23.75,34.208333333333336,Cold
2015-02-12,23.041666666666668,32.583333333333336,Cold
2015-02-13,23.25,43.291666666666664,Cold
2015-02-14,23.333333333333332,40.708333333333336,Cold
2015-02-15,24.541666666666668,53.875,Cold
2015-02-16,24.875,58.375,Cold
2015-02-17,25.0,58.75,Cold
2015-02-18,25.416666666666668,67.33333333333333,Cold
2015-02-19,26.083333333333332,62.708333333333336,Cold
2015-02-20,25.708333333333332,55.875,Cold
2015-02-21,26.0,47.541666666666664,Cold
2015-02-22,26.541666666666668,44.583333333333336,Cold
2015-02-23,26.583333333333332,52.208333333333336,Cold
2015-02-24,26.958333333333332,49.541666666666664,Cold
2015-02-25,27.208333333333332,48.5,Cold
2015-02-26,27.166666666666668,59.041666666666664,Cold
2015-02-27,27.083333333333332,57.708333333333336,Cold
2015-02-28,27.25,55.083333333333336,Cold
2015-03-01,27.083333333333332,48.875,Cold
