1,-27,-26,-28,-26,-27,-31,-26,-28,-26,-26,-25,-28,-26,-26,-25
1.296,-36,-38,-36,-38,-37,-36,-37,-38,-42,-42,-41,-40,-42,-41,-40
1.834,-33,-35,-35,-35,-36,-37,-35,-38,-37,-37,-38,-39,-37,-35,-33
2.9,-50,-51,-50,-50,-50,-47,-47,-48,-48,-48,-47,-45,-47,-45,-49
3.528,-60,-60,-58,-63,-65,-63,-61,-59,-60,-59,-60,-59,-58,-61,-62
5.347,-68,-71,-67,-67,-69,-70,-64,-65,-60,-64,-68,-71,-65,-68,-66
